Category,Calculator title,Calculator ID,Final file path,Icon ID,Icon source,Calculator source,Functional test,Formula review,Mobile test,Print test,Stage 1 status,Required action,Notes
Reinforced Concrete,Columns,columns,calculators/columns.html,columns,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Rectangular columns with four formed faces. No beam/slab intersection deductions are made.
Reinforced Concrete,Beams,beams,calculators/beams.html,beams,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Prismatic rectangular downstand beams. Slab-overlap depth is user-editable.
Reinforced Concrete,Slabs,slabs,calculators/slabs.html,slabs,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Flat slab area less openings. Soffit formwork equals net plan area.
Reinforced Concrete,Stairs,stairs,calculators/stairs.html,stairs,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Straight stair flight with uniform risers and treads plus one rectangular landing.
Reinforced Concrete,Reinforcement,reinforcement,calculators/reinforcement.html,reinforcement,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Single bar group. Create separate runs for different bar diameters or detailing groups.
Finishes,Internal Plaster,internalPlaster,calculators/internalPlaster.html,internalPlaster,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Uniform plaster thickness. Openings are deducted from each selected face.
Finishes,External Render,externalRender,calculators/externalRender.html,externalRender,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Uniform thickness per coat. Openings deducted once from the wall face.
Finishes,Floor Screed,floorScreed,calculators/floorScreed.html,floorScreed,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Uniform average screed thickness. Falls and local thickening should be reflected in the entered average.
Finishes,Floor Tiles,floorTiles,calculators/floorTiles.html,floorTiles,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Tile count is area-based. Cutting pattern and room geometry are represented through the wastage allowance.
Finishes,Painting,painting,calculators/painting.html,painting,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Coverage is entered per coat. Primer and finish coats should be calculated separately when their coverage differs.
Finishes,Waterproofing,waterproofing,calculators/waterproofing.html,waterproofing,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Includes floor, perimeter upstand and optional wall area. Product rate is entered per coat."
Roofing,Roof Geometry and Pitch,roofGeometry,calculators/roofGeometry.html,roofGeometry,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Symmetrical two-slope gable roof. Pitch is measured from horizontal.
Roofing,Timber Roof Frame,timberRoof,calculators/timberRoof.html,timberRoof,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Simple paired rafters/trusses at uniform spacing on a symmetrical gable roof.
Roofing,Steel Roof Frame,steelRoof,calculators/steelRoof.html,steelRoof,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Regular frames and purlins on a symmetrical gable roof. Bracing, plates, bolts and connections are excluded."
Roofing,Roof Tiles,roofTiles,calculators/roofTiles.html,roofTiles,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Symmetrical gable roof. Effective tile dimensions include headlap and sidelap.
Roofing,Metal Roofing Sheets,roofSheets,calculators/roofSheets.html,roofSheets,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Symmetrical gable roof with sheets laid eaves-to-ridge. Sheet segmentation is based on available length and end lap.
Roofing,Gutters and Downpipes,gutters,calculators/gutters.html,gutters,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Uniform gutter runs. Downpipe count is based on maximum spacing, with at least one downpipe per run."
Doors and Windows,Timber Doors,timberDoors,calculators/timberDoors.html,timberDoors,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Single-leaf timber doors with two jambs and one head. Optional threshold is controlled by 0/1 input.
Doors and Windows,Aluminium Doors,aluminiumDoors,calculators/aluminiumDoors.html,aluminiumDoors,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Rectangular glazed aluminium doors. Perimeter, mullion and transom lengths are calculated separately."
Doors and Windows,Timber Windows,timberWindows,calculators/timberWindows.html,timberWindows,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Rectangular windows using one average timber section for the entered frame and internal members.
Doors and Windows,Aluminium Windows,aluminiumWindows,calculators/aluminiumWindows.html,aluminiumWindows,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Rectangular aluminium windows. A configurable sash factor captures additional sliding/casement profiles.
Doors and Windows,Glass and Glazing,glazing,calculators/glazing.html,glazing,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Rectangular panes. Density defaults to 2,500 kg/m³. Sealant can be counted on one or both faces."
Doors and Windows,Ironmongery,ironmongery,calculators/ironmongery.html,ironmongery,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Hardware quantities are schedule-based and include a user-defined spare allowance.
